Word,Frequency,Layers of BERT Large Model,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
committee ,784,4,5,4,6,3,3,5,4,5,6,5,5,5,4,5,5,5,2,4,6,4,2,5,2,3
security ,762,3,5,4,5,4,2,6,3,10,4,3,4,2,7,3,5,3,2,5,3,2,5,5,4,4
national ,686,3,4,5,5,5,5,6,8,6,6,6,3,4,2,4,3,4,5,5,3,3,6,5,4,4
state ,662,5,5,6,5,4,2,6,5,2,4,4,2,5,2,5,4,4,3,7,2,2,4,2,4,2
work ,609,4,4,4,3,3,2,9,6,5,7,2,3,5,4,5,8,3,4,3,7,5,5,2,4,2
government ,576,4,5,4,6,4,5,5,5,5,4,6,2,2,2,3,7,3,7,2,5,6,4,5,2,2
new ,561,4,4,3,4,7,4,3,3,2,5,2,2,6,3,2,3,3,2,4,3,2,4,4,2,3
law ,556,3,3,2,2,3,4,4,7,5,4,5,3,4,3,3,4,8,4,2,2,5,4,8,2,2
support ,546,4,2,3,3,4,2,2,2,2,2,3,5,2,5,3,3,3,4,3,4,4,2,5,6,2
report ,537,2,2,5,2,3,2,6,8,5,6,8,4,2,4,3,6,7,4,8,6,4,7,3,2,3
