Word,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos,mean_Clusters
ability,10,5,4,4,7,2,5,6,2,3,2,3,8,5,9,2,3,2,3,2,6,6,3,4,5,0,1.81,0.88,0,28,1,980,Noun,4.44
able,2,2,4,2,4,4,6,5,2,4,2,7,5,5,5,5,3,3,4,2,2,2,2,2,2,0,2.38,1.42,1,30,0.962962963,8155,Adjective,3.44
about,5,5,5,3,4,6,3,5,4,2,3,2,5,4,2,4,3,4,4,3,3,6,4,3,5,0,1.77,0.95,0,28,1,185206,Preposition,3.88
above,9,3,5,4,2,5,6,2,4,3,3,4,4,5,2,6,2,2,3,4,5,3,3,3,4,0,3.33,1.34,0,28,1,2493,Preposition,3.84
accept,2,2,4,5,5,3,5,2,9,2,5,3,3,5,2,3,2,3,3,2,8,2,2,2,3,0,3.03,1.57,0,28,1,2692,Verb,3.48
access,6,3,2,5,4,4,9,5,5,5,7,2,2,2,2,2,7,6,7,4,3,4,5,4,3,0,2.71,1.44,0,28,1,1615,Noun,4.32
accomplished,2,2,2,2,2,2,2,6,4,2,3,4,4,2,4,3,3,3,4,5,3,5,3,4,5,0,1.7,1.07,0,27,1,384,Verb,3.24
accordingly,3,5,10,9,8,3,8,3,3,6,3,2,2,2,8,6,5,9,4,4,5,7,3,10,6,0,1.58,0.92,0,29,1,93,Adverb,5.36
account,10,2,2,7,8,6,5,3,7,2,2,5,2,4,3,3,2,3,2,4,3,3,4,2,2,0,3.08,1.52,0,28,1,2280,Noun,3.84
accounting,8,5,2,3,2,8,2,4,2,9,3,2,9,4,8,3,8,2,2,2,3,2,3,2,8,0,3.27,1.66,0,28,1,230,Noun,4.24
acquire,7,4,3,3,2,3,10,4,2,3,2,2,2,4,2,4,2,7,6,5,2,8,4,2,8,0,2.93,1.27,0,28,1,135,Verb,4.04
across,2,3,6,4,3,2,9,3,2,3,3,10,5,3,5,5,3,2,2,4,2,3,3,2,4,0,3.07,1.21,0,28,1,4801,Preposition,3.72
act,8,2,4,5,3,4,10,2,6,2,7,3,2,2,3,3,2,8,2,6,2,2,4,4,4,0,2.46,1.27,0,27,1,5565,Verb,4
acting,2,6,2,5,2,8,4,7,3,5,2,2,3,3,2,2,2,2,2,2,8,2,9,2,6,0,2.54,1.35,0,27,1,2675,Verb,3.72
action,9,4,4,3,2,4,3,9,9,7,6,6,2,5,3,5,2,5,7,5,7,4,2,8,5,0,2.86,1.36,0,28,1,3115,Noun,5.04
active,3,2,3,3,2,4,2,2,5,2,5,2,8,3,2,3,3,2,2,3,4,2,3,3,3,0,3.32,1.25,0,31,1,584,Adjective,3.04
activity,2,2,6,2,4,2,5,9,2,3,7,2,4,2,2,2,2,6,3,2,4,2,2,3,2,0,2.72,1.4,0,28,1,657,Noun,3.28
add,6,2,4,8,9,2,8,3,9,5,10,9,2,3,3,2,5,8,7,6,2,2,6,2,3,0,3,1.51,0,28,1,1686,Verb,5.04
addition,4,6,2,3,4,5,2,5,4,3,2,3,5,2,3,2,5,4,4,5,6,2,2,3,5,0,2.89,1.37,0,28,1,395,Preposition,3.64
address,6,2,3,8,3,5,6,5,2,5,3,3,5,3,3,3,4,4,2,3,3,3,2,5,2,0,3.89,1.26,0,29,1,2666,Noun,3.72
adequate,3,2,10,5,4,5,3,7,5,7,2,3,4,2,7,2,2,4,3,8,3,3,2,2,2,0,1.97,1.09,0,30,1,132,Adjective,4
adjustment,2,3,2,2,3,2,3,3,7,2,4,4,5,3,3,4,3,6,3,2,4,2,4,3,9,0,2.81,1.33,0,28,1,158,Noun,3.52
adult,2,2,8,3,8,2,6,2,2,2,3,2,2,2,4,3,2,2,6,2,4,2,2,4,2,0,4.4,0.87,0,29,1,729,Noun,3.16
advance,6,2,5,7,4,2,5,5,6,3,2,2,9,5,2,2,5,2,4,8,4,2,2,3,2,0,2.57,1.26,0,28,1,815,Noun,3.96
advanced,7,4,7,2,2,7,3,10,7,2,10,3,2,2,9,4,2,7,3,2,5,7,3,3,2,0,1.83,1.23,0,30,1,451,Adjective,4.6
affect,6,5,6,5,10,2,8,3,7,2,8,10,3,9,2,2,7,6,8,2,4,3,2,4,2,0,1.93,1.11,1,27,0.964285714,568,Verb,5.04
afraid,2,2,4,2,4,5,4,4,4,3,2,4,5,4,4,2,4,4,4,4,5,3,3,4,4,0,2.7,1.39,0,30,1,12631,Adjective,3.6
age,9,2,2,4,2,2,2,5,2,3,4,3,3,5,3,2,2,2,2,3,3,5,2,2,5,0,2.86,1.53,0,28,1,4039,Noun,3.16
agency,6,6,9,3,2,5,2,4,3,2,2,4,3,3,4,6,3,5,3,5,2,5,5,4,2,0,3.87,1.23,0,29,1,991,Noun,3.92
agent,3,3,5,8,2,2,5,5,6,2,3,4,4,2,2,2,2,2,4,4,6,3,3,2,2,0,3.61,1.34,0,29,1,5235,Noun,3.44
agree,9,2,2,4,7,2,2,3,3,3,2,6,2,2,4,2,2,2,2,5,4,3,3,4,5,0,2.31,1.26,0,27,1,3298,Verb,3.4
ahead,5,5,8,8,2,10,3,9,7,5,6,4,2,3,3,3,4,9,7,2,2,2,9,9,7,0,3,1.33,0,30,1,10115,Adverb,5.36
aim,5,4,6,2,3,8,2,4,3,2,2,5,6,2,3,10,2,2,3,3,2,2,2,2,2,0,3.27,1.23,0,28,1,758,Verb,3.48
air,3,2,2,9,2,9,2,2,3,2,2,2,5,2,4,2,2,3,2,2,2,3,2,2,8,0,4.11,1.22,0,29,1,7090,Noun,3.16
alive,2,6,5,5,6,3,5,3,2,5,2,3,5,2,5,2,3,2,5,6,4,5,2,5,4,0,3.14,1.58,0,30,1,7878,Adjective,3.88
all,4,2,3,3,4,3,8,6,3,3,5,5,3,5,4,5,5,5,5,9,4,4,3,4,2,0,2.27,1.6,0,29,1,263255,Determiner,4.28
allocate,4,2,4,4,4,3,2,6,2,3,2,2,4,3,3,3,3,4,3,3,2,7,3,3,4,0,2.38,1.31,1,27,0.96,8,Verb,3.32
allow,3,6,3,2,10,4,4,4,5,3,2,3,2,2,3,3,3,2,9,2,2,4,4,3,2,0,2.41,1.21,0,27,1,2263,Verb,3.6
alone,3,2,8,2,2,2,3,9,3,3,8,2,3,2,5,2,6,2,4,2,3,2,3,5,2,0,2.86,1.6,0,30,1,15735,Adjective,3.52
amount,3,5,3,2,3,4,5,3,2,3,8,2,2,2,4,2,4,2,2,4,2,2,3,6,2,0,2.74,1.29,0,28,1,1262,Noun,3.2
analytical,2,5,8,8,2,6,2,3,2,2,2,3,2,2,8,4,2,4,4,2,8,7,3,2,2,0,1.86,1.21,0,30,1,30,Adjective,3.8
answer,4,2,4,2,3,2,5,2,6,2,7,4,4,2,3,5,4,2,3,5,5,3,2,2,4,0,2.89,1.45,0,28,1,8986,Verb,3.48
appeal,6,3,5,5,4,2,3,8,3,5,2,4,9,3,6,4,7,5,2,4,2,2,9,2,3,0,1.73,1.26,0,28,1,663,Noun,4.32
appear,2,5,3,2,4,6,2,5,5,2,3,2,3,2,4,4,2,5,7,8,5,4,2,6,6,0,3.13,1.41,0,28,1,1192,Verb,3.96
appearance,8,2,3,3,2,2,7,2,2,6,2,8,2,2,10,2,2,3,2,6,5,7,3,3,2,0,2.57,1.62,0,28,1,591,Noun,3.84
apply,5,2,3,2,2,2,2,2,7,2,3,3,2,3,2,2,2,3,2,2,2,2,4,2,2,0,2.5,1.4,1,27,0.965517241,638,Verb,2.6
appointment,2,5,3,2,4,5,2,3,4,9,2,2,2,2,2,4,4,3,2,9,2,2,3,2,2,0,3,1.29,0,28,1,1559,Noun,3.28
appreciate,5,4,2,2,4,5,3,2,4,2,2,2,2,3,2,2,2,3,5,2,3,3,2,3,5,0,2.23,1.17,0,27,1,4373,Verb,2.96
approach,3,4,2,2,4,6,3,4,6,8,2,2,2,4,3,3,3,3,2,2,4,8,3,3,8,0,2.74,1.35,0,28,1,1070,Noun,3.76
appropriate,4,7,3,3,2,4,5,5,4,2,4,2,9,7,2,5,2,2,4,4,7,4,2,9,5,0,2,1.07,0,30,1,657,Adjective,4.28
approval,3,4,3,2,2,7,2,2,2,2,3,2,2,2,3,3,2,2,8,5,5,2,2,3,3,0,2.33,1.05,0,28,1,428,Noun,3.04
